,shirtNumber,position,goals,total_shots,shots_on_target,shots_off_target,blocked_shots,saved_shots,total_passes,accurate_passes,key_passes,dribbles_attempted,dribbles_past,dribbles,tackles_attempted,tackles_won,clearances,interceptions,injuries,distance_covered,avg_speed,highest_speed,team,team_color,%_pass_success,%_dribbles_success,aerial_duels,%_aerial_success,offensive_aerials,defensive_aerials,%_tackles_success
2,1,Goalkeeper,0,2,0,2,0,0,39,28,1,6,0,0,0,0,1,10,0,411.2293271,5.940079529,155.2532081,1,[     100      100       100],71.79487179,0,0,0,0,0,0
5,11,Right-back,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83.00772448,7.171867395,121.457886,1,[     100      100       100],0,0,0,0,0,0,0
7,111,Left-back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[     100      100       100],0,0,0,0,0,0,0
9,1111,Center-back,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24.69358941,10.66763063,171.6518967,1,[     100      100       100],100,0,0,0,0,0,0
10,117,Center-back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.077505858,2.625482531,31.22629857,1,[     100      100       100],0,0,0,0,0,0,0
12,14,Central Midfielder,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,39.60405106,8.55447503,32.59509318,1,[     100      100       100],0,0,0,0,0,0,0
15,19,Central Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.54179068,4.830017858,44.49482501,1,[     100      100       100],0,0,0,0,0,0,0
17,2,Central Midfielder,0,1,1,0,0,1,9,7,0,1,0,0,0,0,0,2,0,114.9819884,7.096031286,114.4908333,1,[     100      100       100],77.77777778,0,0,0,0,0,0
22,28,Right Winger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[     100      100       100],0,0,0,0,0,0,0
24,4,Left Winger,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,1,0,18.38444701,2.656945781,56.51627219,1,[     100      100       100],80,0,0,0,0,0,0
27,46,Striker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.209822522,2.25064333,39.25938167,1,[     100      100       100],0,0,0,0,0,0,0
32,7,Center Forward,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,55.29880657,11.96609739,115.921362,1,[     100      100       100],100,0,0,0,0,0,0
34,70,Central Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.460191808,3.654802861,34.52245148,1,[     100      100       100],0,0,0,0,0,0,0
37,8,Left Winger,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,30.7494915,4.427926776,38.71592161,1,[     100      100       100],100,0,0,0,0,0,0
39,9,Right Winger,0,1,0,1,0,0,9,6,0,2,0,0,0,0,0,3,0,70.97831762,7.665658303,56.9283614,1,[     100      100       100],66.66666667,0,0,0,0,0,0
50,50,Central Midfielder,0,1,0,1,0,0,9,6,0,2,0,0,0,0,0,3,0,70.9545,7.245,55.545,1,[     100      100       100],67.54,0,0,0,0,0,0
51,51,Goalkeeper,0,0,0,2,0,0,39,28,1,6,0,0,0,0,1,10,0,411.2293271,5.940079529,155.2532081,1,[     100      100       100],71.79487179,0,0,0,0,0,0
52,52,Right-back,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,83.00772448,7.171867395,121.457886,1,[     100      100       100],0,0,0,0,0,0,0
53,53,Left-back,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[     100      100       100],0,0,0,0,0,0,0
54,54,Center-back,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24.69358941,10.66763063,171.6518967,1,[     100      100       100],100,0,0,0,0,0,0
55,55,Center-back,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24.69358941,10.66763063,171.6518967,1,[     100      100       100],100,0,0,0,0,0,0
56,56,Central Midfielder,0,1,0,1,0,0,9,6,0,2,0,0,0,0,0,3,0,70.9545,7.245,55.545,1,[     100      100       100],67.54,0,0,0,0,0,0
57,57,Central Midfielder,0,1,0,1,0,0,9,6,0,2,0,0,0,0,0,3,0,70.9545,7.245,55.545,1,[     100      100       100],67.54,0,0,0,0,0,0
58,58,Central Midfielder,0,1,0,1,0,0,9,6,0,2,0,0,0,0,0,3,0,70.9545,7.245,55.545,1,[     100      100       100],67.54,0,0,0,0,0,0
59,59,Center Forward,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,55.29880657,11.96609739,115.921362,1,[     100      100       100],100,0,0,0,0,0,0
60,60,Striker,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.209822522,2.25064333,39.25938167,1,[     100      100       100],0,0,0,0,0,0,0
61,61,Left-back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[     100      100       100],0,0,0,0,0,0,0
62,62,Center-back,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24.69358941,10.66763063,171.6518967,1,[     100      100       100],100,0,0,0,0,0,0
63,63,Central Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.460191808,3.654802861,34.52245148,1,[     100      100       100],0,0,0,0,0,0,0
64,64,Center-back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.077505858,2.625482531,31.22629857,1,[     100      100       100],0,0,0,0,0,0,0
